DfE,School Name,Bus (type not known),Car Share,Car/Van,Cycle,Dedicated School Bus,Other,Public Bus Service,Taxi,Train,Walk,Grand Total
3833040,Middleton St Mary's Church of England Voluntary Controlled Primary School,6,,64,,,,5,1,,388,464
3832477,Moor Allerton Hall Primary School,25,22,270,4,,1,9,10,1,147,489
3833053,Moortown Primary School,,,69,6,,,,,,137,212
3832439,Mount St Mary's Catholic High School,98,20,68,,176,9,252,1,2,313,939
3832440,New Bewerley Community School,10,,64,,,3,15,2,,319,413
3834753,Ninelands Primary School,1,6,217,,,,1,1,2,221,449
3833927,North West Specialist Inclusive Learning Centre,1,,32,,142,2,4,39,,4,224
3832397,Otley All Saints Church of England Primary School,,,56,,,,1,,,192,249
3837073,Otley The Whartons Primary School,,2,34,,14,,,1,,114,165
3832513,Our Lady of Good Counsel Catholic Primary School,,,95,2,,,3,2,,129,231
3832405,Park Spring Primary School,,,202,2,,,10,1,,209,424
3833376,Park View Primary Academy,,1,7,,,,,,,266,274
3832488,Parklands Primary School,,,3,,,,,,,3,6
3832005,Pool-in-Wharfedale Church of England Voluntary Controlled Primary School,,,119,,,,,,,82,201
3832467,Primrose Lane Primary School,,,104,4,,,,,,130,238
3833051,Prince Henry's Grammar School,62,1,78,2,536,1,83,17,2,700,1482
3832389,Pudsey Bolton Royd Primary School,2,2,196,,,,5,,,259,464
3834501,Pudsey Grangefield Mathematics and Computing College,18,16,73,,1,1,14,3,,398,524
3832331,Pudsey Tyersal Primary School,,6,28,,,,,,,172,206
3834102,Queensway Primary School,,,67,1,,,2,2,,138,210
3832326,Ralph Thoresby School,4,5,120,2,2,1,236,,,382,752
3832356,Rawdon St Peter's Church of England Voluntary Controlled Primary School,,,182,,,,,,,131,313
3834062,Raynville Primary School,1,,56,,,,5,3,,385,450
3833031,Richmond Hill Primary School,1,1,64,2,,1,9,19,1,512,610
3832489,Richmond House School,,,201,4,,,2,1,,30,238
3832451,Robin Hood Primary School,,2,202,,,,,,,272,476
3836004,Rodillian Academy,20,8,483,29,634,3,46,2,,246,1471
3832309,Rosebank Primary School,14,3,62,1,,,14,,,225,319
3834103,Rothwell Haigh Road Infant School,,5,43,,,3,,,,107,158
3832415,Rothwell Primary School,3,,179,2,3,1,,1,,177,366
3832313,Rothwell St Mary's Catholic Primary School,,,157,1,5,,1,,,42,206
3832506,Rothwell Victoria Junior School,3,,47,,,,,,,125,175
3833364,Roundhay School All-through education from 4-18,87,56,737,33,,3,79,15,,1278,2288
3832342,Roundhay St John's Church of England Primary School,3,28,102,1,,,1,1,,116,252
3834063,Royds School,365,7,263,3,153,,46,6,,106,949
3833329,Rufford Park Primary School,1,,140,,,,2,,,174,317
3834104,Ruth Gorse Academy,50,9,314,25,62,184,274,1,1,104,1024
3832002,Sacred Heart Catholic Primary School,2,5,61,,48,1,5,,,67,189
3934067,Seacroft Grange Primary School,3,,11,,7,,,,,188,209
3833377,Seven Hills Primary School,1,,98,2,,,3,1,,157,262
3832452,Shadwell Primary School,,,106,2,,,1,,,96,205
3832293,Shakespeare Primary School,1,3,72,1,,,12,3,,500,592
3832441,Sharp Lane Primary School,2,10,190,3,,1,11,2,,424,643
3832462,South Specialist Inclusive Learning Centre,,,26,,158,,10,4,,20,218
3832510,Southroyd Primary and Nursery School,,18,192,4,,,3,,,295,512
3837062,Spring Bank Primary School,9,,60,4,,,2,1,,106,182
3832335,SS Peter and Paul Catholic Primary School - A Voluntary Academy,,1,190,,,1,,,,20,212
3832414,"St Anthony's Catholic Primary School, Beeston",2,,111,,,,2,,,94,209
3833363,St Bartholomew's Church of England Voluntary Controlled Primary School,9,15,90,,,2,31,2,,587,736
3833367,St Benedict's Catholic Primary School - A Voluntary Academy,2,,141,1,13,,2,1,5,78,243
3833056,St Chad's Church of England Primary School,,4,95,3,,,2,,,130,234
3833365,"St Edward's Catholic Primary School, Boston Spa",,,88,3,,,,,,38,129
3833315,"St Francis Catholic Primary School, Morley",,,196,,,,9,,,34,239
3833358,St Johns Residential School For The Deaf,,,2,,,,2,12,,,16
3833362,"St Josephs Catholic Primary School, Hunslet",,,69,1,,,50,,,84,204
3837016,"St Josephs Catholic Primary School, Otley - A Voluntary Academy",2,3,118,4,,,,,,66,193
3833374,"St Josephs Catholic Primary School, Pudsey - A Voluntary Academy",1,4,203,1,,,6,,1,57,273
3833360,"St Josephs Catholic Primary School, Wetherby",,,133,1,7,,,,,92,233
3833361,St Margaret's Church of England Voluntary Controlled Primary School,1,9,105,,,,2,2,,304,423
3833366,"St Mary’s Menston, A Catholic Voluntary Academy",2,25,130,1,695,7,66,4,80,237,1247
3833038,"St Mary's Catholic Primary School, Horsforth - A Voluntary Academy",,,34,,,,,,,21,55
3834601,"St Mary's Church of England Controlled Primary School, Boston Spa",,,66,,,,,,,64,130
3833359,St Matthew's Church of England Primary School,6,3,172,2,,1,24,2,,185,395
3833047,St Nicholas' Catholic Primary School,1,,155,1,,,2,,,141,300
3833908,St Oswald's Church of England Primary School,,1,173,3,,1,,,2,195,375
3833375,St Patrick's Catholic Primary School,,15,74,4,,,2,1,,117,213
3833350,St Paul's Catholic Primary School,,,120,2,,,4,,,85,211
3833382,St Peter's Church of England Primary School,6,,74,,,,12,1,,137,230
3833378,St Philip's Catholic Primary and Nursery School,,,155,1,,,14,2,,67,239
3833911,St Theresa's Catholic Primary School,,,277,,15,,2,,,201,495
3833379,St Urban's Catholic Primary School,1,10,110,1,9,,4,1,,74,210
3833385,Stanningley Primary School,2,3,77,1,,2,,,,145,230
3833373,Summerfield Primary School,1,2,57,1,,,4,,,162,227
3832490,Swarcliffe Primary School,5,9,65,6,,,9,1,,242,337
3832491,Swillington Primary Academy,1,,17,,,,,,,187,205
3832468,Swinnow Primary School,2,1,86,,,,1,,,184,274
3832328,Talbot Primary School,2,40,112,2,,,1,2,1,343,503
3832503,Templenewsam Halton Primary School,1,47,102,2,4,,9,,,276,441
3832432,The Farnley Academy,55,71,375,10,,,168,1,,554,1234
3832465,The Morley Academy,46,40,257,12,25,1,247,1,1,802,1432
3834026,The Stephen Longfellow Academy,,,10,2,57,1,80,9,,20,179
3834101,Thorpe Primary School,,15,138,1,,,,,,121,275
3831113,Tranmere Park Primary School,,20,58,1,,,,,,264,343
3832312,Valley View Community Primary School,9,18,307,2,,1,2,,,119,458
3832348,Weetwood Primary School,,,107,2,,,,,,157,266
3833928,West End Primary School,,,69,2,,,,,,200,271
3832421,West Oaks Sen Specialist School And College,,,53,1,197,,6,16,,5,278
3832334,West Specialist Inclusive Learning Centre,,,34,,,,13,161,,5,213
3837072,Westerton Primary Academy,,7,383,1,,1,,1,,313,706
3837074,Westgate Primary School,,,62,3,,,,,,174,239
3832297,Wetherby High School,2,,37,,303,1,19,1,,240,603
3832403,Whingate Primary School,8,3,133,1,2,,6,3,,306,462
3834111,Whinmoor St Paul's Church of England Primary School,3,2,66,1,,,2,,,142,216
3832493,White Laith Primary School,5,2,69,,,,5,,,146,227
3833912,Whitecote Primary School,11,1,82,2,,6,1,4,,337,444
3832456,Woodkirk Academy ,3,53,469,52,222,2,212,8,,791,1812
3832494,Woodlands Primary Academy,2,,29,,,,2,,,374,407
3834105,Woodlesford Primary School,2,,167,2,,,,,,283,454
3832008,Wykebeck Primary School,2,1,70,,,,23,2,,347,445
3832314,Yeadon Westfield Infant School,,1,77,3,,2,,2,,142,227
3832457,Yeadon Westfield Junior School,,1,76,3,,2,,2,,142,226
3832358,Morley Newlands Academy,3,8,250,3,,,8,2,,396,670
3832324,Abbey Grange Acadmey,,,109,3,735,,469,1,,282,1599
3832321,Pudsey Primrose,,,306,2,,17,7,,,183,515
3832322,Temple Learning Academy,1,2,52,3,,,18,4,,185,265
3832323,Wigton Moor,,7,292,2,,,,,,147,448
3832324,Elements Primary Free School,,,11,,,,,,,16,27
3832325,Brodetsky Primary School,,,301,,,,5,,,7,313
3832326,Hollybush Primary,2,2,68,1,,,3,1,,402,479
3832327,Iveson Primary School,1,2,110,,15,1,12,6,,61,208
3832328,Kippax Greenfield,1,1,71,3,,,,,,88,164
3832329,Rawdon Littlemoor,,5,75,1,,,3,,,226,310
3832330,Westbrook Lane Primary School,,4,48,,,,,,,161,213
3832331,Whitkirk Primary School,18,,174,3,,,3,1,,160,359

